incident_id,title,description,service,team,priority,category,root_cause,resolution,created_at,resolved_at
INC-1001,Payment API timeout spike,Checkout requests timing out intermittently under load,payment-api,payments-team,P1-Critical,Performance,Connection pool exhaustion on payment-db,Increased DB connection pool size and added circuit breaker,2026-01-05T10:42:00,2026-01-05T12:15:00
INC-1002,Auth service 500 errors,Login requests failing with 500 after deploy,auth-service,identity-team,P1-Critical,Deployment,Bad config pushed in v2.3.1 deploy,Rolled back to v2.3.0,2026-01-08T08:10:00,2026-01-08T08:45:00
INC-1003,Redis cache unavailable,Session cache unreachable causing degraded reads,session-cache,platform-team,P2-High,Infrastructure,Redis node OOM due to memory leak in client lib,Restarted Redis and upgraded client library,2026-01-10T14:00:00,2026-01-10T15:30:00
INC-1004,Order service slow queries,Order lookup API p95 latency above SLA,order-service,orders-team,P3-Medium,Database,Missing index on orders.customer_id,Added composite index and rebuilt statistics,2026-01-12T09:00:00,2026-01-12T11:00:00
INC-1005,Inventory API 429 errors,Downstream clients rate limited unexpectedly,inventory-api,inventory-team,P2-High,Application,Rate limiter misconfigured after autoscale event,Adjusted rate-limit thresholds per replica,2026-01-14T16:20:00,2026-01-14T17:05:00
INC-1006,Notification service email delay,Emails delayed by 30+ minutes,notification-service,platform-team,P3-Medium,Third-Party Integration,SMTP provider partial outage,Failed over to secondary SMTP provider,2026-01-16T07:30:00,2026-01-16T09:00:00
INC-1007,Payment API database deadlocks,Transactions failing with deadlock errors,payment-db,payments-team,P1-Critical,Database,Long-running batch job holding row locks,Rescheduled batch job outside peak hours,2026-01-18T13:00:00,2026-01-18T14:20:00
INC-1008,Auth service login latency,Login p99 latency spike,auth-service,identity-team,P3-Medium,Performance,Unoptimized password hashing rounds,Tuned bcrypt cost factor,2026-01-20T10:00:00,2026-01-20T10:40:00
INC-1009,API gateway 502 errors,Intermittent 502s across all services,api-gateway,platform-team,P1-Critical,Infrastructure,Upstream server pool exhaustion after traffic spike,Scaled gateway pods and tuned keepalive settings,2026-01-22T18:00:00,2026-01-22T19:10:00
INC-1010,Session cache eviction storm,Users logged out unexpectedly,session-cache,platform-team,P2-High,Infrastructure,Redis maxmemory-policy misconfigured,Fixed eviction policy and increased memory allocation,2026-01-24T11:00:00,2026-01-24T12:00:00
INC-1011,Order service dependency failure,Orders failing due to inventory-api errors,order-service,orders-team,P2-High,Application,Upstream inventory-api returning malformed responses,Added schema validation and fallback handling,2026-01-26T09:45:00,2026-01-26T10:50:00
INC-1012,Payment API authentication failure,Payment requests rejected with auth errors,payment-api,payments-team,P1-Critical,Authentication,Expired TLS client certificate,Renewed and rotated certificate,2026-01-28T15:00:00,2026-01-28T15:35:00
